cliente,servicio,detalle,categoria
RENTING COLOMBIA,MONITOREO DE AMENAZAS (CSOC),Darktrace,NOTA
SINERGIA SOLIDARIA,MONITOREO DE AMENAZAS (CSOC),Lumu,NOTA
TECNOQUIMICAS,MONITOREO DE AMENAZAS (CSOC),Marca S2: Contrato  hasta el 2028,NOTA
COMFANDI,MONITOREO DE AMENAZAS (CSOC),SOC con Itsecurity 2029,NOTA
JGB,MONITOREO DE AMENAZAS (CSOC),"LUMU
Fecha de vencimiento: Ene-2027",NOTA
UNIVERSIDAD EXTERNADO DE COLOMBIA,ANALISIS DE ULNERABILIDADES,FOCO 2026,FOCO
COOPIDROGAS,ANALISIS DE ULNERABILIDADES,Fecha de renovación: 2027,RENOVACION
ENFRAGEN,ANALISIS DE ULNERABILIDADES,"Marca: PELLERA CYBOLT
Partner: Partner de USA
Fecha de renovación: 2029",RENOVACION
INTERRAPIDISIMO,ANALISIS DE ULNERABILIDADES,"Marca: MNEMO
Partner: Directo
Fecha de renovación: 1 Jun 2026",RENOVACION
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA,ANALISIS DE ULNERABILIDADES,"Oportunidad, hoy no se hace",NOTA
C.I. ACEPALMA S.A.,ANALISIS DE ULNERABILIDADES,No tienen herramienta de analisis de vuln,NOTA
AGROSAVIA,ANALISIS DE ULNERABILIDADES,Fecha de renovación: 16 de Diciembre de 2026,RENOVACION
GRANH THORTHON,ANALISIS DE ULNERABILIDADES,"Marca: Rapid 7 desde casa matriz
Partner:
Fecha de renovación:",RENOVACION
INSTITUTO NACIONAL DE METROLOGÍA,ANALISIS DE ULNERABILIDADES,Fábrica: Vicarius.Fecha de vencimiento 30/08/2026. Partner: Real Time,NOTA
ANDI,ANALISIS DE ULNERABILIDADES,Gamma -CIB,NOTA
ARIS MINING,ANALISIS DE ULNERABILIDADES,Tenable,NOTA
UNIVERSIDAD AUTONOMA DE OCCIDENTE,ANALISIS DE ULNERABILIDADES,"Marca: Qualys
Partner: xxx
Fecha de renovación:xxx",RENOVACION
CIAT,ANALISIS DE ULNERABILIDADES,"Marca: Qualys
Partner: xxx
Fecha de renovación:xxx",RENOVACION
UNIVERSIDAD SANTIAGO DE CALI,ANALISIS DE ULNERABILIDADES,Vicarius,NOTA
CARTONES AMERICA,ANALISIS DE ULNERABILIDADES,"Marca: Tenable
Partner: RSM
Fecha de renovación: Dic-2026",RENOVACION
UNIVERSIDAD EXTERNADO DE COLOMBIA,ETHICAL HACKING,Fecha de renovación: 2028,RENOVACION
COOPIDROGAS,ETHICAL HACKING,"Marca:
Partner: DRAGONJAR
Fecha de renovación: JUNIO 2026",RENOVACION
ENFRAGEN,ETHICAL HACKING,"Marca: PELLERA CYBOLT
Partner: Partner de USA
Fecha de renovación: 2029",RENOVACION
INTERRAPIDISIMO,ETHICAL HACKING,"Marca: DragonJAR
Partner: Directo
Fecha de renovación: 3 Abr 2026",RENOVACION
CAJA DE COMPENSACIÓN FAMILIAR CAFAM,ETHICAL HACKING,"FOCO 2060. Se envió propuesta, esta en evaluación",FOCO
C.I. ACEPALMA S.A.,ETHICAL HACKING,"No han hecho, ya cotizamos",NOTA
CORPORACIÓN MALOKA,ETHICAL HACKING,Foco 2026,FOCO
MEDILASER,ETHICAL HACKING,En curso,NOTA
"PARQUE TEMATICO 
HACIENDA NAPOLES",ETHICAL HACKING,Necesitan. Mostraron interes,NOTA
GRANH THORTHON,ETHICAL HACKING,FOCO 2026,FOCO
CHEVYPLAN,ETHICAL HACKING,GAMMA X APP DE PRODUCCIÓN,NOTA
INSTITUTO NACIONAL DE METROLOGÍA,ETHICAL HACKING,Fábrica: Vicarius.Fecha de vencimiento 30/08/2026. Partner: Real Time.,NOTA
ANDI,ETHICAL HACKING,Gamma-CIB,NOTA
SINERGIA SOLIDARIA,ETHICAL HACKING,Gamma,NOTA
TECNOQUIMICAS,ETHICAL HACKING,"Marca: tenable One
Partner: CentroNet
Fecha Renovación: xxxx
Infraestructura

Marca: SERVICIOS GAMMA
Partner: Gamma Ingenieros
Aplicaciones Web",RENOVACION
UNIVERSIDAD AUTONOMA DE OCCIDENTE,ETHICAL HACKING,"""Marca: CSOC
Parnert: Gamma Ingenieros
Revisar ejercicios este año",NOTA
UNIVERSIDAD SANTIAGO DE CALI,ETHICAL HACKING,"""Marca: CSOC
Parnert: Gamma Ingenieros
Revisar ejercicios este año",NOTA
CARTONES AMERICA,ETHICAL HACKING,"Marca: Tenable
Partner: RSM
Fecha de renovación: Dic-2026",RENOVACION
SOCIEDAD PORTUARIA DE BUENAVENTURA,ETHICAL HACKING,Gamma Ingenieros,NOTA
UNIVERSIDAD EXTERNADO DE COLOMBIA,MONITOREO DE MARCA,YA NO LO ESTAN USANDO,NO_ACTIVO
COOPIDROGAS,MONITOREO DE MARCA,Fecha de renovación: 2026,RENOVACION
PERMODA LTDA,MONITOREO DE MARCA,Fecha de Renovación: 1 de noviembre de 2026,RENOVACION
CAJA DE COMPENSACIÓN FAMILIAR CAFAM,MONITOREO DE MARCA,"Marca: Tienen El servicio con TELEFONICA 
Partner: TELEFONICA
Fecha de renovación: 2027

Tenemos el servicio de TAKEDOWNS AXUR actualmente y estamos ofreciendo otros servicios para complementar lo que NO cubren con Telefonica hoy en dia.",RENOVACION
C.I. ACEPALMA S.A.,MONITOREO DE MARCA,No han hecho,NOTA
CORPORACIÓN MALOKA,MONITOREO DE MARCA,"Foco 2026
Quieren verlo",FOCO
AGROSAVIA,MONITOREO DE MARCA,Necesitan. Mostraron interes,NOTA
"PARQUE TEMATICO 
HACIENDA NAPOLES",MONITOREO DE MARCA,Necesitan. Mostraron interes,NOTA
GRANH THORTHON,MONITOREO DE MARCA,FOCO 2026,FOCO
BANCO ITAU,MONITOREO DE MARCA,AXUR - MAYO 2027,NOTA
GRUPO CIBEST,MONITOREO DE MARCA,Se exploró oportunidad con Axur.,NOTA
ARIS MINING,MONITOREO DE MARCA,Axur,NOTA
SINERGIA SOLIDARIA,MONITOREO DE MARCA,Axur,NOTA
UNIVERSIDAD AUTONOMA DE OCCIDENTE,MONITOREO DE MARCA,Herramienta gratuita | Oportunidad para Agosto 2026,NOTA
UNIVERSIDAD SANTIAGO DE CALI,MONITOREO DE MARCA,"""Marca: CSOC
Parnert: Gamma Ingenieros
Revisar ejercicios este año",NOTA
CARTONES AMERICA,MONITOREO DE MARCA,"FORTIRECON
Fecha de vencimiento: Pdt",NOTA
BANCO W,MONITOREO DE MARCA,"APPGATE
Fecha de vencimiento: Ene-2028",NOTA
HARINERA DEL VALLE,MONITOREO DE MARCA,"Marca: Palo Alto
Parnert: GMS
Fecha de renovación: Dic 2027",RENOVACION
ENFRAGEN,RESPUESTA A INCIDENTES,"Marca: PELLERA CYBOLT
Partner: Partner de USA
Fecha de renovación: 2029",RENOVACION
PERMODA LTDA,RESPUESTA A INCIDENTES,"Marca: ESET Protect MDR
Partner: ESET
Fecha de renovación: 1 Dic 2026",RENOVACION
INTERRAPIDISIMO,RESPUESTA A INCIDENTES,"Marca: MNEMO
Partner: Directo
Fecha de renovación: 1 Jun 2026",RENOVACION
PERMODA LTDA,CONSULTORIA,Proyecto Foco 2026,FOCO
BANCO MUNDO MUJER,CONSULTORIA,Servicios de soporte SDWAN,NOTA
UNIVERSIDAD SANTIAGO DE CALI,CONSULTORIA,Servicios de soporte SDWAN,NOTA
COOPIDROGAS,PHISHING,"Marca: SOPHOS
Partner: GMS
Fecha de renovación:  JULIO 2026",RENOVACION
INTERRAPIDISIMO,PHISHING,"Marca: DragonJAR
Partner: Directo
Fecha de renovación: 3 Abr 2026",RENOVACION
CORPORACIÓN MALOKA,PHISHING,Lo quieren ver dentro del proyecto de EH de 2026,NOTA
"PARQUE TEMATICO 
HACIENDA NAPOLES",PHISHING,Necesitan. Mostraron interes,NOTA
UNIVERSIDAD AUTONOMA DE OCCIDENTE,PHISHING,Gestión propia con herrramientas gratuitas,NOTA
CARTONES AMERICA,PHISHING,"Marca: Tenable
Partner: RSM
Fecha de renovación: Dic-2026",RENOVACION
